,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
64,0.004665454228719075,0.0004702484121557602,0.004504283269246419,0.00040698409164287904,balanced,4,7,5,"{'class_weight': 'balanced', 'max_depth': 4, 'min_samples_leaf': 7, 'min_samples_split': 5}",0.6715328467153284,0.7482993197278911,0.6715328467153284,69.71216710528493,0.03618806242330478,23
65,0.005001147588094075,0.0008164387092474284,0.003666480382283529,0.0004714270419015834,balanced,4,7,6,"{'class_weight': 'balanced', 'max_depth': 4, 'min_samples_leaf': 7, 'min_samples_split': 6}",0.6715328467153284,0.7482993197278911,0.6715328467153284,69.71216710528493,0.03618806242330478,23
66,0.004666248957316081,0.0004709772346025081,0.003667434056599935,0.0004705836125736355,balanced,4,8,4,"{'class_weight': 'balanced', 'max_depth': 4, 'min_samples_leaf': 8, 'min_samples_split': 4}",0.6715328467153284,0.7428571428571429,0.6666666666666666,69.36855520797126,0.03482627295355998,31
67,0.004000027974446614,5.947204250930057e-07,0.005001147588094075,0.001414054949187162,balanced,4,8,5,"{'class_weight': 'balanced', 'max_depth': 4, 'min_samples_leaf': 8, 'min_samples_split': 5}",0.6715328467153284,0.7428571428571429,0.6666666666666666,69.36855520797126,0.03482627295355998,31
68,0.0053335825602213545,0.0012480439395225287,0.0036660035451253257,0.0009421787495115325,balanced,4,8,6,"{'class_weight': 'balanced', 'max_depth': 4, 'min_samples_leaf': 8, 'min_samples_split': 6}",0.6715328467153284,0.7428571428571429,0.6666666666666666,69.36855520797126,0.03482627295355998,31
69,0.0036672751108805337,0.0004719887584278997,0.003666480382283529,0.00047108962613854846,balanced,4,9,4,"{'class_weight': 'balanced', 'max_depth': 4, 'min_samples_leaf': 9, 'min_samples_split': 4}",0.6715328467153284,0.7428571428571429,0.6521739130434783,68.88546342053165,0.038994831142479286,39
70,0.004001935323079427,1.1894408501860113e-06,0.003332376480102539,0.00047002165459349024,balanced,4,9,5,"{'class_weight': 'balanced', 'max_depth': 4, 'min_samples_leaf': 9, 'min_samples_split': 5}",0.6715328467153284,0.7428571428571429,0.6618705035971223,69.20868310565312,0.036116096493410285,34
71,0.0036673545837402344,0.0004718766078166204,0.002999544143676758,1.0115243642614567e-06,balanced,4,9,6,"{'class_weight': 'balanced', 'max_depth': 4, 'min_samples_leaf': 9, 'min_samples_split': 6}",0.6715328467153284,0.7428571428571429,0.6521739130434783,68.88546342053165,0.038994831142479286,39
72,0.005000511805216472,0.0008161454947370437,0.004332542419433594,0.00047120225894440053,balanced,5,6,4,"{'class_weight': 'balanced', 'max_depth': 5, 'min_samples_leaf': 6, 'min_samples_split': 4}",0.6887417218543046,0.7547169811320754,0.6535947712418301,69.90178247427366,0.04191757031128227,16
73,0.003997325897216797,4.046097457045827e-06,0.003667116165161133,0.0004715389511856095,balanced,5,6,5,"{'class_weight': 'balanced', 'max_depth': 5, 'min_samples_leaf': 6, 'min_samples_split': 5}",0.6887417218543046,0.7547169811320754,0.6535947712418301,69.90178247427366,0.04191757031128227,16
74,0.00433349609375,0.0012474473972870772,0.0043337345123291016,0.0004712018568280267,balanced,5,6,6,"{'class_weight': 'balanced', 'max_depth': 5, 'min_samples_leaf': 6, 'min_samples_split': 6}",0.6887417218543046,0.7547169811320754,0.6535947712418301,69.90178247427366,0.04191757031128227,16
75,0.004995505015055339,0.0008164634252585953,0.004676421483357747,0.00047850730918859875,balanced,5,7,4,"{'class_weight': 'balanced', 'max_depth': 5, 'min_samples_leaf': 7, 'min_samples_split': 4}",0.6853146853146853,0.7320261437908496,0.6535947712418301,69.0311866782455,0.032213857442071316,36
76,0.005333105723063151,0.0009425159242996196,0.004333813985188802,0.0004730008430779481,balanced,5,7,5,"{'class_weight': 'balanced', 'max_depth': 5, 'min_samples_leaf': 7, 'min_samples_split': 5}",0.6853146853146853,0.7320261437908496,0.6535947712418301,69.0311866782455,0.032213857442071316,36
77,0.004338582356770833,0.0012538000391990585,0.003667036692301432,0.0004713141679983425,balanced,5,7,6,"{'class_weight': 'balanced', 'max_depth': 5, 'min_samples_leaf': 7, 'min_samples_split': 6}",0.6853146853146853,0.7320261437908496,0.6535947712418301,69.0311866782455,0.032213857442071316,36
78,0.004333337148030599,0.0012469800779049314,0.0039958953857421875,7.281206080784071e-06,balanced,5,8,4,"{'class_weight': 'balanced', 'max_depth': 5, 'min_samples_leaf': 8, 'min_samples_split': 4}",0.6666666666666666,0.6918238993710691,0.6447368421052632,66.77424693809996,0.019238256228990672,85
79,0.004333019256591797,0.00047153903155141864,0.00400082270304362,0.0008160480736998365,balanced,5,8,5,"{'class_weight': 'balanced', 'max_depth': 5, 'min_samples_leaf': 8, 'min_samples_split': 5}",0.6666666666666666,0.6918238993710691,0.6447368421052632,66.77424693809996,0.019238256228990672,85
80,0.0046664079030354815,0.0009431902738757939,0.004333893458048503,0.00047243856521167216,balanced,5,8,6,"{'class_weight': 'balanced', 'max_depth': 5, 'min_samples_leaf': 8, 'min_samples_split': 6}",0.6666666666666666,0.6918238993710691,0.6447368421052632,66.77424693809996,0.019238256228990672,85
81,0.005000591278076172,0.0008171191744962085,0.004000186920166016,2.2450203723630166e-06,balanced,5,9,4,"{'class_weight': 'balanced', 'max_depth': 5, 'min_samples_leaf': 9, 'min_samples_split': 4}",0.6762589928057554,0.7058823529411764,0.6405228758169934,67.42214071879751,0.026721765521125148,76
